Fecha,lvl_h2o,Anio,Mes,wse_incertidumbre,ancho_m,reach_id_usado
2025-08-09,56.1052,2025,8,0.09436,1691.005433,61207000161
2025-08-14,56.6867,2025,8,0.11975,18.722847,61207000161
2025-08-14,59.2029,2025,8,0.09447,391.62805,61207000171
2025-08-14,75.706,2025,8,0.1043,85.06472,61209100051
2025-08-14,78.5265,2025,8,0.09099,907.088064,61209100031
2025-08-30,78.2511,2025,8,0.81789,659.311729,61209100031
2025-08-30,75.262,2025,8,0.11107,122.249712,61209100051
2025-08-30,58.2501,2025,8,0.09935,2336.775076,61207000171
2025-08-30,56.0368,2025,8,0.09155,1772.249117,61207000161
2025-09-03,56.1296,2025,9,0.09467,701.694056,61207000161
2025-09-03,58.8754,2025,9,0.09191,659.248561,61207000171
2025-09-03,75.7514,2025,9,0.17022,56.464191,61209100051
2025-09-03,78.5553,2025,9,0.0909,941.828497,61209100031
2025-09-20,79.0643,2025,9,0.8127,608.992991,61209100031
2025-09-20,76.6948,2025,9,0.09889,174.917841,61209100051
2025-09-20,59.3425,2025,9,0.09839,1922.375132,61207000171
2025-09-20,58.3469,2025,9,0.10442,1099.002019,61207000161
2025-09-24,56.2011,2025,9,0.09265,956.405415,61207000161
2025-09-24,58.9241,2025,9,0.09171,773.451293,61207000171
2025-09-24,75.3196,2025,9,0.10485,104.853315,61209100051
2025-09-24,78.3364,2025,9,0.09087,962.906786,61209100031
2025-10-11,79.0976,2025,10,0.81026,652.255768,61209100031
2025-10-11,76.2651,2025,10,0.09711,163.041152,61209100051
2025-10-11,63.6137,2025,10,0.10204,1895.074547,61207000171
2025-10-11,64.1936,2025,10,0.1009,1483.615308,61207000161
2025-10-15,57.189,2025,10,0.09184,1425.747012,61207000161
2025-10-15,59.9365,2025,10,0.09143,1322.132984,61207000171
2025-10-15,79.1256,2025,10,0.0909,972.98077,61209100031
2025-10-15,76.8402,2025,10,0.09952,119.870632,61209100051
2025-11-01,77.358,2025,11,0.09892,360.574507,61209100051
2025-11-01,79.475,2025,11,0.81611,721.193229,61209100031
2025-11-01,61.2935,2025,11,0.10504,2328.541737,61207000171
2025-11-01,57.78,2025,11,0.0917,1716.130875,61207000161
2025-11-05,57.3499,2025,11,0.09282,1184.008108,61207000161
2025-11-05,60.117,2025,11,0.09206,1237.95143,61207000171
2025-11-05,79.4246,2025,11,0.09088,1019.396966,61209100031
2025-11-05,76.6698,2025,11,0.10495,104.388111,61209100051
2025-11-21,77.46,2025,11,0.09786,393.106161,61209100051
2025-11-21,79.9021,2025,11,0.81605,708.457315,61209100031
2025-11-21,62.0406,2025,11,0.11573,1592.634798,61207000171
2025-11-21,57.7642,2025,11,0.0918,1574.602679,61207000161
2025-11-26,57.3947,2025,11,0.11414,57.357187,61207000161
2025-11-26,60.3186,2025,11,0.09265,995.531999,61207000171
2025-11-26,77.176,2025,11,0.11774,137.584403,61209100051
2025-11-26,79.453,2025,11,0.091,972.121942,61209100031
2025-12-12,78.7478,2025,12,0.82726,687.487659,61209100031
2025-12-12,75.6544,2025,12,0.11346,166.905663,61209100051
2025-12-12,58.7745,2025,12,0.21952,1535.733807,61207000171
2025-12-12,56.2934,2025,12,0.09341,1503.485716,61207000161
2025-12-17,56.5629,2025,12,0.0948,584.090963,61207000161
2025-12-17,59.3412,2025,12,0.09223,1074.038507,61207000171
2025-12-17,76.3552,2025,12,0.10844,101.066891,61209100051
2025-12-17,78.7348,2025,12,0.0911,959.911475,61209100031
